500.9161	0.5382	0.9587
494.8512	0.5024	0.9399
504.7461	0.5209	0.952
501.5353	0.4955	0.9739
500.6759	0.4967	0.9524
502.5762	0.5138	0.9293
501.307	0.5111	0.9329
495.2926	0.4776	0.9466
499.1883	0.4693	0.9462
499.2697	0.478	0.9327
497.3399	0.4717	0.9536
508.4105	0.5012	0.9753
495.6214	0.4918	0.945
497.5809	0.4926	0.9459
496.44	0.4728	0.906
494.1289	0.5156	0.9345
499.0388	0.5088	0.9221
498.6296	0.4982	0.9423
507.6504	0.5204	0.9605
498.7549	0.4825	0.9805
494.6789	0.5083	0.986
508.0173	0.507	0.9477
506.1734	0.507	0.9436
498.8519	0.4854	0.9664
492.4692	0.5065	0.9598
497.7769	0.4897	0.9653
499.2203	0.4821	0.9656
501.3803	0.4759	0.9204
498.6942	0.5208	0.9608
502.2171	0.4831	0.9482
501.9595	0.4965	0.9348
493.7466	0.4758	0.9361
495.2602	0.4941	0.9756
496.2945	0.4354	0.9338
497.4609	0.4783	0.9253
498.3971	0.4715	0.9543
500.0623	0.4797	0.9902
484.8541	0.4957	0.9505
497.7149	0.4935	0.9562
506.2122	0.5389	0.9312
494.6665	0.4886	0.9835
504.6686	0.495	0.9525
501.7516	0.4686	0.9606
499.855	0.4905	0.931
500.9123	0.4732	0.9671
492.1747	0.5006	0.9578
499.5773	0.5171	0.9269
508.0197	0.5081	0.9508
500.4917	0.486	0.941
500.2069	0.4674	0.9522
496.3292	0.5292	0.945
499.8459	0.541	0.9462
501.1617	0.5024	0.9293
502.1319	0.4802	0.9435
498.136	0.524	0.9653
498.8177	0.4881	0.9849
510.1185	0.4906	0.9268
488.7082	0.5177	0.9975
511.1472	0.4723	0.9805
501.6878	0.4609	0.9534
505.0003	0.5084	0.944
491.6792	0.508	0.936
497.0498	0.5019	0.9667
498.6097	0.5099	0.9361
502.1136	0.5216	0.9408
491.649	0.5194	0.9677
502.3582	0.4886	0.9587
493.9358	0.5162	0.9679
500.331	0.5035	0.9601
503.2618	0.4899	0.942
500.9161	0.4554	0.9335
494.8512	0.4346	0.9066
504.7461	0.448	0.912
501.5353	0.445	0.9066
500.6759	0.4538	0.9315
502.5762	0.4541	0.9044
501.307	0.4541	0.8987
495.2926	0.4464	0.9311
499.1883	0.444	0.9115
499.2697	0.4441	0.9272
497.3399	0.4585	0.913
508.4105	0.4315	0.9254
495.6214	0.4479	0.8687
497.5809	0.4527	0.9293
496.44	0.4435	0.9571
494.1289	0.4548	0.9408
499.0388	0.4493	0.9382
498.6296	0.4406	0.9152
507.6504	0.4516	0.9236
498.7549	0.4473	0.9249
494.6789	0.4459	0.9219
508.0173	0.4429	0.9034
506.1734	0.4506	0.913
498.8519	0.4315	0.9165
492.4692	0.446	0.9104
497.7769	0.4446	0.9367
499.2203	0.4409	0.9708
501.3803	0.4565	0.8935
498.6942	0.4427	0.9226
502.2171	0.4554	0.8912
501.9595	0.4598	0.9461
493.7466	0.4484	0.9482
495.2602	0.4528	0.8867
496.2945	0.4564	0.9589
497.4609	0.4492	0.8983
498.3971	0.4554	0.9245
500.0623	0.4374	0.942
484.8541	0.4611	0.9229
497.7149	0.4401	0.9659
506.2122	0.4317	0.9751
494.6665	0.4638	0.9228
504.6686	0.4494	0.8819
501.7516	0.4545	0.9127
499.855	0.4464	0.903
500.9123	0.4398	0.9047
492.1747	0.4193	0.8974
499.5773	0.4563	0.9216
508.0197	0.4471	0.9621
500.4917	0.448	0.9057
500.2069	0.4541	0.9144
496.3292	0.4358	0.9433
